Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9
시도별,2015,2016,2017,2018,2019,2020,합계
전국,1676,1820,2008,2447,2656,3052,20493
서울,536,571,513,566,531,609,5423
부산,113,135,137,221,245,345,1742
대구,90,78,116,134,155,189,1025
인천,137,160,180,170,206,253,1587
광주,18,21,27,21,23,27,196
대전,51,61,38,78,90,79,568
울산,28,26,39,39,49,67,348
세종,2,3,0,10,7,8,45
경기,297,325,399,453,615,682,4151
강원,54,67,73,128,76,71,684
충북,31,36,62,87,82,110,537
충남,47,60,78,123,131,82,745
전북,30,40,40,63,59,62,412
전남,30,41,52,53,67,94,523
경북,69,61,90,118,110,139,828
경남,87,109,103,137,162,163,1159
제주,56,26,61,46,48,72,520
